# fundname,ISIN number,benchmark cost
Japanese fund,GB0004521737,2.99
Fidelity Tech,LU1033663649,£5.15
Fidelity pacific,LU1033664373,£2.295
Fundsmith,GB00B41YBW71,£5.38
Hsbc Ftse,GB00B80QFX11, £5.91
Glg Europe,GB00B0119487,7.38
Marlborough Ss,GB00B907GH23,2268.47p
Rathbourne,GB00BH0P2M97,163.88p
Vanguard Dev World,GB00B59G4Q73,£447.77
Jpm US Small Cap,GB00B8H99P30,£11.93
Polar Captial Biotech,IE00B42P0H75,2769.00p
